"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 08 18:25:48 GMT 2024","Mon Jan 08 18:25:54 GMT 2024","5514","tests","test_contact_form","TestContactForm","","","test_contact_form","Test to verify the contact us form functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:26:23 GMT 2024","Mon Jan 08 18:26:26 GMT 2024","3140","tests","test_register","TestRegister","","","test_register_existing_email","Test to verify the new user registration with existing email functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:25:55 GMT 2024","Mon Jan 08 18:26:00 GMT 2024","4541","tests","test_login","TestLogin","","","test_valid_login","Test to verify the user login with valid credentials functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:26:15 GMT 2024","Mon Jan 08 18:26:16 GMT 2024","867","tests","test_products","TestProducts","","","test_test_products_search","Test to verify the products search functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:26:12 GMT 2024","Mon Jan 08 18:26:13 GMT 2024","848","tests","test_products","TestProducts","","","test_test_products_and_details","Test to verify all products and product detail page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:26:18 GMT 2024","Mon Jan 08 18:26:21 GMT 2024","3203","tests","test_register","TestRegister","","","test_valid_registration","Test to verify the new user registration with valid credentials functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:26:02 GMT 2024","Mon Jan 08 18:26:03 GMT 2024","732","tests","test_login","TestLogin","","","test_invalid_login","Test to verify the user login with invalid credentials functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:26:10 GMT 2024","Mon Jan 08 18:26:11 GMT 2024","565","tests","test_page_navigation","TestPageNavigation","","","test_test_cases_page","Test to verify the test cases page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:26:28 GMT 2024","Mon Jan 08 18:26:30 GMT 2024","2182","tests","test_subscription","TestContactForm","","","test_subscription","Test to verify the subscription functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:26:05 GMT 2024","Mon Jan 08 18:26:08 GMT 2024","3666","tests","test_login","TestLogin","","","test_logout","Test to verify the user logout after successful login functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
